*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pca9685
*Date=12:11:06
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;;24.1636;-1.45763;0;Bottom;Hole1
105;;;21.6236;-12.8876;0;Bottom;Via9
106;;;10.2108;-5.36372;0;Bottom;Copper Fill95
107;;;20.3454;-5.36372;0;Bottom;Copper Fill99
108;;sj_3;7.65359;-13.5226;-90;Bottom;A1
109;;;22.733;-19.0797;0;Bottom;Copper Fill84
110;;;20.3708;-22.9913;0;Bottom;Copper Fill79
111;;;8.8773;-0.791718;0;Bottom;Copper Fill56
112;;;3.7973;-0.791718;0;Bottom;Copper Fill60
113;;;3.8436;-13.5226;0;Bottom;Via1
114;;;5.1308;-5.36372;0;Bottom;Copper Fill93
115;;;5.1308;-23.0675;0;Bottom;Copper Fill10
116;;;16.4973;-0.791718;0;Bottom;Copper Fill45
117;;THT;24.1636;-17.9676;0;Bottom;J1
118;;;5.1308;-2.74752;0;Bottom;Copper Fill28
119;;;20.3708;-23.0675;0;Bottom;Copper Fill16
120;;;4.572;-18.9654;0;Bottom;Copper Fill48
121;;;7.6073;-12.3487;0;Bottom;Copper Fill52
122;;;17.8308;-2.67132;0;Bottom;Copper Fill105
123;;;15.2908;-5.36372;0;Bottom;Copper Fill97
124;;;5.9436;-16.0571;0;Bottom;Copper Fill85
125;;;12.7508;-5.36372;0;Bottom;Copper Fill96
126;;;15.2908;-2.67132;0;Bottom;Copper Fill104
127;;;4.86963;-9.78707;0;Bottom;IMG2
128;;;12.6873;-12.3487;0;Bottom;Copper Fill44
129;;;11.4173;-27.6395;0;Bottom;Copper Fill51
130;;;11.4636;-13.5226;0;Bottom;Via4
131;;;22.6314;-5.36372;0;Bottom;Copper Fill27
132;;;7.6708;-5.36372;0;Bottom;Copper Fill94
133;;THT;19.0836;-3.99762;180;Bottom;06
134;;THT;8.92359;-3.99762;180;Bottom;02
135;;;2.5908;-25.6075;0;Bottom;Copper Fill62
136;;;16.4973;-27.6395;0;Bottom;Copper Fill43
137;;THT;3.84359;-24.3176;0;Bottom;15
138;;;18.796;-8.13232;0;Bottom;Copper Fill92
139;;;13.9573;-0.791718;0;Bottom;Copper Fill50
140;;;16.5436;-17.3326;0;Bottom;Via6
141;;;7.6708;-22.9913;0;Bottom;Copper Fill74
142;;;17.6784;-18.9019;0;Bottom;Copper Fill83
143;;;20.3708;-2.67132;0;Bottom;Copper Fill106
144;;sj_3;15.2736;-13.5226;-90;Bottom;A4
145;;;2.5908;-25.6075;0;Bottom;Copper Fill1
146;;;5.1308;-5.28752;0;Bottom;Copper Fill20
147;220;0805 [SMD];19.6461;-14.4751;0;Top;R2
148;;;12.954;-20.6291;0;Bottom;Copper Fill81
149;;;10.2108;-2.67132;0;Bottom;Copper Fill102
